order_id,first_name,last_name,email,age,city,product,category,quantity,unit_price,total_amount,payment_method,status,order_date
ORD0421,Youssef,Hamidi,youssef.hamidi216@email.com,32,Sidi Bel Abbes,USB Cable,Peripherals,4.0,62191.85,248767.4,Credit Card,pending,2025-03-06
ORD0598,Yasmine,Khelifi,yasmine.khelifi389@email.com,46,Biskra,USB Cable,Storage,8.0,39762.46,318099.68,Credit Card,cancelled,2025-01-10
ORD0459,Meriem,Meziane,meriem.meziane265@email.com,18,Alger,Headphones,Accessories,4.0,120124.13,480496.52,Dahabia,shipped,2025-09-18
ORD0313,Bilal,Cherif,bilal.cherif767@email.com,32,Bejaia,Monitor,Electronics,8.0,15735.15,125881.2,CIB,completed,2025-01-02
ORD0650,Ali,Saidi,ali.saidi189@email.com,28,Annaba,Printer,Electronics,6.0,146714.37,880286.22,CIB,shipped,2025-08-18
ORD0366,Mohamed,Zidane,mohamed.zidane733@email.com,18,Constantine,Power Bank,Electronics,8.0,50228.1,401824.8,CIB,shipped,2025-11-02
ORD0322,Lina,Mebarki,lina.mebarki860@email.com,62,,Tablet,Accessories,4.0,89081.67,356326.68,BaridiMob,returned,2025-01-23
ORD0630,Omar,Boudiaf,omar.boudiaf738@email.com,21,Annaba,RAM 16GB,Peripherals,5.0,30730.53,153652.65,CIB,completed,2025-12-19
ORD0915,Youssef,Meziane,youssef.meziane501@email.com,62,Biskra,RAM 16GB,Networking,4.0,3942.5,15770.0,Credit Card,returned,2025-08-09
ORD0469,Nour,Cherif,nour.cherif443@email.com,44,Tiaret,Headphones,Accessories,3.0,120105.6,360316.8,CIB,cancelled,2025-01-06
ORD0599,Rachid,Mansouri,rachid.mansouri324@email.com,35,Bejaia,RAM 16GB,Electronics,2.0,137697.97,275395.94,BaridiMob,cancelled,2025-10-21
ORD0395,Bilal,Mansouri,bilal.mansouri604@email.com,55,Bejaia,Tablet,Storage,1.0,79789.47,79789.47,Cash,returned,2025-07-27
ORD0537,Meriem,Belkacem,meriem.belkacem666@email.com,44,Blida,Tablet,Storage,8.0,71340.11,570720.88,CIB,pending,2025-04-02
ORD0721,Karim,Taleb,karim.taleb792@email.com,65,Chlef,Smartwatch,Storage,8.0,18217.6,145740.8,CIB,pending,2025-05-10
ORD0334,Youssef,Saidi,youssef.saidi609@email.com,21,Djelfa,Smartwatch,Storage,1.0,64982.84,64982.84,CIB,returned,2025-07-06
ORD0410,Nour,Mebarki,nour.mebarki219@email.com,59,Biskra,Mouse,Peripherals,6.0,44389.37,266336.22,Credit Card,returned,2025-08-18
ORD0060,Khaled,Meziane,khaled.meziane607@email.com,54,Sidi Bel Abbes,Router,Accessories,2.0,104730.35,209460.7,BaridiMob,returned,2025-02-26
ORD0257,Samira,Cherif,samira.cherif38@email.com,60,Mostaganem,Mouse,Networking,10.0,95907.96,959079.6,Cash,completed,2025-04-22
ORD0970,Fatima,Belkacem,fatima.belkacem540@email.com,18,Constantine,USB Cable,Electronics,10.0,15409.63,154096.3,Dahabia,completed,2025-02-27
ORD0686,Rachid,Larbi,rachid.larbi696@email.com,-5,Blida,Tablet,Peripherals,10.0,93673.28,936732.8,Cash,returned,2025-08-26
ORD0343,Samira,Khelifi,samira.khelifi843@email.com,43,Biskra,Tablet,Networking,5.0,48302.55,241512.75,Cash,completed,2025-07-18
ORD0636,Youssef,Benali,youssef.benali492@email.com,26,,Keyboard,Accessories,8.0,128759.36,1030074.88,Credit Card,completed,2025-08-15
ORD0709,Samira,Hamidi,samira.hamidi884@email.com,48,Djelfa,Laptop,Storage,9.0,56518.4,508665.6,Cash,shipped,2025-09-14
ORD0011,Omar,Cherif,omar.cherif506@email.com,42,Alger,Power Bank,Electronics,2.0,23349.78,46699.56,CIB,cancelled,2025-10-03
ORD0486,Amina,Bouzid,amina.bouzid297@email.com,19,Alger,RAM 16GB,Storage,10.0,68188.7,681887.0,Credit Card,cancelled,2025-04-11
ORD0210,Bilal,Hamidi,bilal.hamidi164@email.com,32,Batna,RAM 16GB,Networking,5.0,103698.41,518492.05,BaridiMob,shipped,2025-10-08
ORD0140,Sara,Boudiaf,sara.boudiaf931@email.com,24,Mostaganem,SSD,Accessories,6.0,90948.37,545690.22,Credit Card,pending,2025-01-15
ORD0389,Bilal,Meziane,bilal.meziane878@email.com,20,Tlemcen,Webcam,Peripherals,2.0,147110.28,294220.56,Cash,completed,2025-07-14
ORD0623,Youssef,Mansouri,youssef.mansouri847@email.com,24,Mostaganem,Keyboard,Peripherals,7.0,1183.22,8282.54,CIB,pending,2025-02-17
ORD0825,Khaled,Mansouri,khaled.mansouri600@email.com,32,Chlef,Power Bank,Peripherals,1.0,146308.74,146308.74,CIB,pending,2025-05-06
ORD0718,Omar,Hamidi,omar.hamidi178@email.com,42,Biskra,SSD,Peripherals,5.0,30200.23,151001.15,Dahabia,shipped,2025-03-13
ORD0846,Yasmine,Bouzid,yasmine.bouzid33@email.com,31,Tiaret,USB Cable,Networking,8.0,4512.36,36098.88,CIB,completed,2025-07-10
ORD0688,Samira,Mebarki,samira.mebarki937@email.com,29,Alger,Headphones,Storage,6.0,128004.71,768028.26,Dahabia,cancelled,2025-01-02
ORD0936,Samira,Belkacem,samira.belkacem548@email.com,61,Sidi Bel Abbes,Mouse,Accessories,9.0,102769.68,924927.12,Cash,returned,2025-08-06
ORD0582,Amine,Benali,amine.benali627@email.com,53,Bejaia,Headphones,Accessories,5.0,9830.38,49151.9,Credit Card,completed,2025-01-23
ORD0383,Meriem,Ferhat,meriem.ferhat583@email.com,61,,Webcam,Accessories,10.0,57272.74,572727.4,BaridiMob,returned,2025-01-28
ORD0071,Meriem,Meziane,meriem.meziane894@email.com,48,Oran,SSD,Peripherals,8.0,72067.77,576542.16,BaridiMob,pending,2025-01-09
ORD0261,Omar,Saidi,omar.saidi320@email.com,62,Blida,Webcam,Accessories,9.0,72697.44,654276.96,Dahabia,completed,2025-08-24
ORD0801,Ahmed,Larbi,ahmed.larbi488@email.com,59,Oran,Smartwatch,Electronics,3.0,62267.87,186803.61,Dahabia,cancelled,2025-09-03
ORD0454,Djamila,Bouzid,djamila.bouzid691@email.com,60,Oran,Mouse,Accessories,1.0,146359.06,146359.06,Cash,shipped,2025-07-12
ORD0592,Sara,Belkacem,sara.belkacem946@email.com,21,Djelfa,USB Cable,Peripherals,10.0,39436.25,394362.5,Dahabia,returned,2025-03-19
ORD0907,Khaled,Zidane,khaled.zidane751@email.com,37,Chlef,Power Bank,Accessories,1.0,138512.1,138512.1,CIB,cancelled,2025-12-13
ORD0785,Rachid,Saidi,rachid.saidi554@email.com,63,Oran,RAM 16GB,Storage,5.0,97064.52,485322.6,CIB,completed,2025-10-21
ORD0214,Khaled,Belkacem,khaled.belkacem598@email.com,47,Tlemcen,Smartphone,Networking,8.0,121399.47,971195.76,Dahabia,pending,2025-09-14
ORD0097,Rachid,Larbi,rachid.larbi700@email.com,18,Annaba,Webcam,Networking,3.0,35212.17,105636.51,BaridiMob,cancelled,2025-05-22
ORD0680,Hana,Boudiaf,hana.boudiaf615@email.com,22,Sidi Bel Abbes,Keyboard,Storage,4.0,83310.43,333241.72,BaridiMob,cancelled,2025-04-28
ORD0850,Bilal,Hamidi,bilal.hamidi207@email.com,54,Oran,Tablet,Storage,2.0,123775.1,247550.2,Credit Card,pending,2025-09-11
ORD0430,Karim,Meziane,karim.meziane407@email.com,46,Blida,Printer,Electronics,4.0,127273.29,509093.16,Credit Card,pending,2025-09-05
ORD0881,Lina,Belkacem,lina.belkacem60@email.com,61,Biskra,Headphones,Storage,4.0,36731.75,146927.0,Cash,shipped,2025-11-23
ORD0193,Ahmed,Larbi,ahmed.larbi486@email.com,51,Setif,RAM 16GB,Networking,10.0,34517.71,345177.1,Cash,returned,2025-08-06
ORD0281,Lina,Zidane,lina.zidane65@email.com,36,Mostaganem,Printer,Storage,4.0,145235.22,580940.88,CIB,cancelled,2025-05-11
ORD0534,Fatima,Bouzid,fatima.bouzid326@email.com,65,Tiaret,Smartwatch,Accessories,1.0,114932.53,114932.53,Dahabia,cancelled,2025-05-15
ORD0683,Fatima,Khelifi,fatima.khelifi859@email.com,59,Batna,USB Cable,Storage,5.0,114840.14,574200.7,Credit Card,returned,2025-05-25
ORD0618,Rachid,Saidi,rachid.saidi124@email.com,39,Biskra,SSD,Networking,3.0,48577.69,145733.07,CIB,completed,2025-10-06
ORD0983,Meriem,Bouzid,meriem.bouzid944@email.com,53,Alger,Laptop,Peripherals,6.0,127388.35,764330.1,CIB,shipped,2025-08-05
ORD0911,Khaled,Belkacem,khaled.belkacem667@email.com,28,Oran,Mouse,Networking,2.0,101908.51,203817.02,CIB,cancelled,2025-07-22
ORD0185,Bilal,Boudiaf,bilal.boudiaf901@email.com,55,Setif,Webcam,Electronics,2.0,141812.3,283624.6,Credit Card,cancelled,2025-04-07
ORD0031,Ali,Meziane,ali.meziane912@email.com,31,Alger,USB Cable,Networking,3.0,41216.06,123648.18,Credit Card,pending,2025-12-11
ORD0329,Sara,Bouzid,sara.bouzid617@email.com,65,Blida,Smartwatch,Networking,4.0,96127.19,384508.76,Cash,cancelled,2025-03-11
ORD0507,Bilal,Belkacem,bilal.belkacem682@email.com,60,Batna,Smartwatch,Electronics,3.0,118973.01,356919.03,Credit Card,cancelled,2025-09-11
ORD0055,Amine,Mansouri,amine.mansouri28@email.com,38,Alger,RAM 16GB,Storage,3.0,130094.28,390282.84,CIB,completed,2025-05-13
ORD0024,Rachid,Benali,rachid.benali400@email.com,36,Setif,Smartwatch,Storage,5.0,63739.62,318698.1,Credit Card,cancelled,2025-03-07
ORD0102,Hana,Ferhat,hana.ferhat452@email.com,29,Oran,SSD,Peripherals,3.0,13974.94,41924.82,BaridiMob,shipped,2025-12-14
ORD0550,Sara,Mansouri,sara.mansouri358@email.com,24,Oran,Tablet,Electronics,10.0,125783.16,1257831.6,BaridiMob,shipped,2025-02-02
ORD0248,Ahmed,Meziane,ahmed.meziane363@email.com,42,Bejaia,Smartphone,Networking,10.0,117773.59,1177735.9,Dahabia,completed,2025-05-14
ORD0004,Rachid,Meziane,rachid.meziane368@email.com,23,Tiaret,Mouse,Networking,5.0,121165.68,605828.4,Dahabia,returned,2025-02-13
ORD0087,Meriem,Boudiaf,meriem.boudiaf250@email.com,22,Tlemcen,Printer,Accessories,7.0,28996.25,202973.75,Credit Card,returned,2025-12-05
ORD0844,Omar,Bouzid,omar.bouzid976@email.com,22,Blida,SSD,Networking,10.0,86294.87,862948.7,Dahabia,cancelled,2025-04-13
ORD0953,Mohamed,Khelifi,mohamed.khelifi293@email.com,37,Tlemcen,Keyboard,Networking,2.0,64920.68,129841.36,BaridiMob,cancelled,2025-06-11
ORD0291,Hana,Khelifi,hana.khelifi531@email.com,25,Djelfa,Printer,Accessories,7.0,44683.54,312784.78,Cash,pending,2025-08-13
ORD0211,Omar,Boudiaf,omar.boudiaf157@email.com,60,Tlemcen,USB Cable,Networking,6.0,62668.92,376013.52,Credit Card,cancelled,2025-09-26
ORD0803,Ahmed,Meziane,ahmed.meziane474@email.com,40,Blida,Smartwatch,Accessories,8.0,1899.81,15198.48,Cash,shipped,2025-11-23
ORD0175,Meriem,Cherif,meriem.cherif421@email.com,61,Mostaganem,Headphones,Networking,2.0,19236.35,38472.7,BaridiMob,completed,2025-08-15
ORD0200,Ali,Belkacem,ali.belkacem491@email.com,65,Annaba,Monitor,Networking,5.0,139987.08,699935.4,BaridiMob,pending,2025-02-20
ORD0903,Rachid,Larbi,rachid.larbi755@email.com,41,Oran,Keyboard,Electronics,10.0,80572.65,805726.5,Dahabia,cancelled,2025-06-25
ORD0895,Ahmed,Mansouri,ahmed.mansouri369@email.com,23,Tiaret,Laptop,Peripherals,8.0,35417.02,283336.16,Dahabia,cancelled,2025-12-20
ORD0064,Bilal,Larbi,bilal.larbi625@email.com,40,Biskra,Headphones,Peripherals,1.0,74398.82,74398.82,BaridiMob,pending,2025-08-07
ORD0266,Bilal,Meziane,bilal.meziane269@email.com,43,Biskra,Router,Storage,9.0,144904.5,1304140.5,BaridiMob,returned,2025-07-20
ORD0232,Ahmed,Hamidi,ahmed.hamidi567@email.com,54,Chlef,SSD,Networking,7.0,44631.25,312418.75,CIB,shipped,2025-04-13
ORD0804,Khaled,Meziane,khaled.meziane836@email.com,49,Djelfa,RAM 16GB,Peripherals,4.0,35521.56,142086.24,Dahabia,shipped,2025-01-09
ORD0626,Khaled,Taleb,khaled.taleb258@email.com,19,Blida,SSD,Storage,1.0,16110.95,16110.95,Cash,returned,2025-03-06
ORD0569,Yasmine,Cherif,yasmine.cherif105@email.com,28,Annaba,Printer,Peripherals,9.0,48113.49,433021.41,CIB,shipped,2025-10-08
ORD0855,Karim,Ferhat,karim.ferhat799@email.com,22,Blida,Headphones,Storage,3.0,38288.61,114865.83,Credit Card,completed,2025-08-01
ORD0040,Rachid,Mebarki,rachid.mebarki591@email.com,22,Annaba,Keyboard,Electronics,7.0,752.85,5269.95,,pending,2025-06-14
ORD0807,Ali,Mebarki,ali.mebarki584@email.com,61,Tiaret,Monitor,Networking,5.0,29181.81,145909.05,Cash,returned,2025-10-09
ORD0169,Bilal,Saidi,bilal.saidi381@email.com,35,Tlemcen,Power Bank,Electronics,10.0,21085.42,210854.2,BaridiMob,cancelled,2025-06-21
ORD0591,Ahmed,Boudiaf,,28,Bejaia,Smartwatch,Storage,10.0,110205.27,1102052.7,Dahabia,shipped,2025-05-10
ORD0465,Meriem,Cherif,meriem.cherif34@email.com,62,Bejaia,Mouse,Storage,3.0,68850.81,206552.43,Cash,returned,2025-08-11
ORD0999,Sara,Mebarki,sara.mebarki730@email.com,54,Mostaganem,RAM 16GB,Storage,4.0,31718.69,126874.76,Credit Card,returned,2025-02-05
ORD0443,Djamila,Benali,djamila.benali899@email.com,18,Mostaganem,Printer,Networking,2.0,14431.9,28863.8,CIB,returned,2025-09-27
ORD0909,Hana,Hamidi,hana.hamidi714@email.com,63,Chlef,Monitor,Networking,7.0,15049.28,105344.96,BaridiMob,returned,2025-01-28
ORD0067,Nour,Hamidi,nour.hamidi680@email.com,62,Djelfa,Mouse,Storage,9.0,79872.83,718855.47,Dahabia,returned,2025-06-12
ORD0308,Fatima,Cherif,fatima.cherif137@email.com,33,Biskra,Router,Storage,2.0,88988.42,177976.84,Cash,cancelled,2025-11-05
ORD0068,Bilal,Hamidi,bilal.hamidi314@email.com,65,Setif,Monitor,Electronics,4.0,47674.42,190697.68,Credit Card,pending,2025-04-07
ORD0199,Yasmine,Taleb,yasmine.taleb918@email.com,59,Batna,Router,Peripherals,3.0,43922.67,131768.01,BaridiMob,completed,2025-06-15
ORD0529,Mohamed,Boudiaf,mohamed.boudiaf403@email.com,35,Sidi Bel Abbes,Tablet,Electronics,6.0,102804.55,616827.3,BaridiMob,shipped,2025-04-17
ORD0482,Nour,Ferhat,nour.ferhat92@email.com,26,Tlemcen,Keyboard,Peripherals,7.0,39341.15,275388.05,null,completed,2025-01-17
ORD0758,Amina,Larbi,amina.larbi504@email.com,40,Alger,Power Bank,Storage,8.0,45895.96,367167.68,CIB,returned,2025-01-01
ORD0988,Sara,Larbi,sara.larbi770@email.com,34,Constantine,Printer,Accessories,1.0,59760.41,59760.41,Dahabia,cancelled,2025-09-23
ORD0363,Youssef,Khelifi,youssef.khelifi364@email.com,36,Annaba,USB Cable,Peripherals,7.0,118319.52,828236.64,BaridiMob,shipped,2025-05-19
ORD0845,Yasmine,Taleb,yasmine.taleb193@email.com,61,Tlemcen,Smartphone,Peripherals,10.0,144309.75,1443097.5,BaridiMob,completed,2025-03-04
ORD0559,Khaled,Saidi,khaled.saidi854@email.com,47,Blida,Smartwatch,Storage,8.0,119689.53,957516.24,,cancelled,2025-03-21
ORD0619,Youssef,Meziane,youssef.meziane281@email.com,55,Constantine,Power Bank,Storage,3.0,104596.22,313788.66,N/A,pending,2025-08-08
ORD0353,Ahmed,Khelifi,ahmed.khelifi382@email.com,40,Tlemcen,SSD,Storage,3.0,144097.8,432293.4,Dahabia,returned,2025-09-12
ORD0761,Karim,Larbi,karim.larbi686@email.com,24,Alger,USB Cable,Electronics,8.0,119948.54,959588.32,Cash,completed,2025-10-20
ORD0930,Yasmine,Cherif,yasmine.cherif609@email.com,63,Chlef,Router,Storage,8.0,89050.36,712402.88,BaridiMob,completed,2025-11-17
ORD0293,Samira,Saidi,samira.saidi560@email.com,20,Biskra,Tablet,Storage,2.0,2995.07,5990.14,Cash,completed,2025-05-07
ORD0753,Sara,Boudiaf,sara.boudiaf410@email.com,51,Tlemcen,Printer,Networking,10.0,140324.5,1403245.0,Dahabia,pending,2025-12-02
ORD0101,Nour,Larbi,nour.larbi822@email.com,20,Blida,Monitor,Accessories,10.0,37968.71,379687.1,CIB,completed,2025-11-21
ORD0772,Ahmed,Mebarki,ahmed.mebarki816@email.com,64,Bejaia,SSD,Peripherals,4.0,124918.23,499672.92,BaridiMob,cancelled,2025-09-04
ORD0706,Samira,Mebarki,samira.mebarki373@email.com,65,Biskra,RAM 16GB,Electronics,7.0,141502.74,990519.18,CIB,pending,2025-02-19
ORD0809,Bilal,Boudiaf,bilal.boudiaf371@email.com,18,Bejaia,Power Bank,Electronics,4.0,7521.21,30084.84,Dahabia,returned,2025-08-11
ORD0306,Ahmed,Saidi,ahmed.saidi2@email.com,21,Mostaganem,RAM 16GB,Storage,5.0,16040.38,80201.9,Credit Card,pending,2025-07-16
ORD0629,Meriem,Larbi,meriem.larbi497@email.com,41,Oran,Smartwatch,Storage,3.0,32816.69,98450.07,Credit Card,cancelled,2025-03-13
ORD0159,Sara,Mansouri,sara.mansouri397@email.com,58,Blida,Keyboard,Electronics,6.0,118383.74,-710302.44,BaridiMob,pending,2025-12-22
ORD0552,Lina,Mebarki,lina.mebarki37@email.com,53,Alger,Power Bank,Peripherals,6.0,55601.13,333606.78,Dahabia,completed,2025-07-27
ORD0003,Ali,Ferhat,ali.ferhat891@email.com,23,Oran,Power Bank,Accessories,7.0,51367.45,359572.15,CIB,pending,2025-06-04
ORD0729,Karim,Saidi,karim.saidi447@email.com,46,Chlef,Tablet,Peripherals,8.0,114669.47,917355.76,CIB,returned,2025-11-21
ORD0209,Ali,Saidi,ali.saidi310@email.com,25,Djelfa,USB Cable,Networking,1.0,39602.2,39602.2,BaridiMob,pending,2025-01-22
ORD0300,Amina,Saidi,amina.saidi162@email.com,18,Setif,Power Bank,Electronics,10.0,101281.0,1012810.0,Cash,pending,2025-12-17
ORD0851,Meriem,Boudiaf,meriem.boudiaf474@email.com,63,Djelfa,Laptop,Electronics,5.0,97121.72,485608.6,Dahabia,shipped,2025-12-27
ORD0437,Fatima,Boudiaf,fatima.boudiaf692@email.com,26,Tlemcen,Webcam,Accessories,10.0,24606.32,246063.2,Dahabia,completed,2025-04-02
ORD0870,Nour,Mebarki,nour.mebarki743@email.com,36,Djelfa,Webcam,Peripherals,3.0,42079.9,126239.7,Cash,returned,2025-07-21
ORD0412,Fatima,Taleb,fatima.taleb263@email.com,49,Bejaia,USB Cable,Peripherals,1.0,136744.72,136744.72,BaridiMob,returned,2025-09-15
ORD0615,Omar,Belkacem,omar.belkacem594@email.com,20,Annaba,Smartwatch,Electronics,1.0,110451.23,110451.23,Dahabia,completed,2025-08-20
ORD0908,Amina,Benali,amina.benali562@email.com,64,Batna,Mouse,Storage,8.0,148551.99,1188415.92,Dahabia,cancelled,2025-02-17
ORD0913,Rachid,Khelifi,rachid.khelifi35@email.com,42,Alger,Monitor,Storage,8.0,45752.1,366016.8,Credit Card,pending,2025-11-24
ORD0997,Omar,Mansouri,omar.mansouri475@email.com,64,Alger,Smartwatch,Electronics,4.0,132718.11,530872.44,CIB,pending,2025-09-17
ORD0963,Ali,Mebarki,,59,Setif,Router,Electronics,4.0,148435.67,593742.68,CIB,returned,2025-02-01
ORD0701,Bilal,Hamidi,bilal.hamidi960@email.com,47,Biskra,Printer,Networking,7.0,140228.07,981596.49,Cash,returned,2025-04-12
ORD0779,Omar,Boudiaf,omar.boudiaf729@email.com,65,Tlemcen,Tablet,Networking,9.0,18149.69,163347.21,CIB,cancelled,2025-08-02
ORD0307,Omar,Belkacem,omar.belkacem287@email.com,55,Alger,Laptop,Accessories,9.0,62251.99,560267.91,BaridiMob,cancelled,2025-12-03
ORD0924,Amina,Taleb,amina.taleb468@email.com,59,Alger,Keyboard,Storage,3.0,80617.7,241853.1,Cash,shipped,2025-11-23
ORD0494,Ahmed,Benali,ahmed.benali596@email.com,23,Mostaganem,USB Cable,Storage,10.0,23671.3,236713.0,Cash,pending,2025-03-16
ORD0424,Nour,Meziane,nour.meziane292@email.com,62,,Smartphone,Accessories,6.0,73136.25,438817.5,BaridiMob,returned,2025-11-10
ORD0299,Ali,Cherif,ali.cherif66@email.com,54,Setif,USB Cable,Networking,2.0,74674.06,149348.12,Credit Card,shipped,2025-01-16
ORD0468,Lina,Zidane,lina.zidane411@email.com,35,Setif,Webcam,Accessories,10.0,20105.31,201053.1,Credit Card,pending,2025-02-24
ORD0885,Lina,Zidane,lina.zidane147@email.com,24,Setif,USB Cable,Accessories,7.0,105001.84,735012.88,Cash,pending,2025-08-01
ORD0756,Nour,Larbi,nour.larbi931@email.com,61,Biskra,Mouse,Networking,8.0,20108.21,160865.68,BaridiMob,cancelled,2025-07-27
ORD0107,Djamila,Khelifi,djamila.khelifi664@email.com,37,Alger,RAM 16GB,Storage,5.0,97561.3,487806.5,Cash,pending,2025-01-02
ORD0859,Ahmed,Mansouri,ahmed.mansouri280@email.com,62,Constantine,Webcam,Peripherals,3.0,32892.53,98677.59,Cash,returned,2025-04-15
ORD0056,Khaled,Boudiaf,khaled.boudiaf335@email.com,19,Blida,Power Bank,Storage,5.0,112925.47,564627.35,Dahabia,shipped,2025-02-16
ORD0121,Youssef,Zidane,youssef.zidane88@email.com,53,Alger,Headphones,Electronics,6.0,121859.51,731157.06,Credit Card,completed,2025-10-18
ORD0311,Bilal,Hamidi,bilal.hamidi475@email.com,38,Setif,Router,Electronics,2.0,24063.5,48127.0,BaridiMob,returned,2025-01-07
ORD0026,Amina,Benali,amina.benali984@email.com,33,Bejaia,Smartphone,Accessories,2.0,89457.75,178915.5,CIB,cancelled,2025-02-19
ORD0073,Hana,Meziane,,46,Alger,Printer,Storage,10.0,89620.96,896209.6,Credit Card,pending,2025-09-13
ORD0531,Omar,Meziane,omar.meziane748@email.com,56,Batna,Printer,Networking,4.0,62891.33,251565.32,Credit Card,pending,2025-07-10
ORD0045,Hana,Khelifi,hana.khelifi826@email.com,44,Annaba,Tablet,Electronics,1.0,37103.96,37103.96,Dahabia,returned,2025-02-15
ORD0276,Samira,Bouzid,samira.bouzid631@email.com,56,Constantine,Power Bank,Accessories,4.0,120913.35,483653.4,Credit Card,shipped,2025-09-09
ORD0479,Nour,Khelifi,nour.khelifi756@email.com,40,Setif,Webcam,Accessories,3.0,79247.98,237743.94,CIB,completed,2025-01-22
ORD0315,Bilal,Ferhat,bilal.ferhat132@email.com,45,Alger,Smartwatch,Peripherals,2.0,6883.1,13766.2,Dahabia,completed,2025-03-19
ORD0337,Djamila,Boudiaf,djamila.boudiaf205@email.com,43,Alger,Laptop,Accessories,3.0,95909.5,287728.5,Cash,cancelled,2025-02-10
ORD0690,Amine,Mansouri,amine.mansouri503@email.com,43,Biskra,Printer,Networking,10.0,70737.85,707378.5,Credit Card,pending,2025-09-02
ORD0431,Amina,Bouzid,amina.bouzid580@email.com,22,Djelfa,RAM 16GB,Accessories,8.0,140906.7,1127253.6,Cash,pending,2025-08-08
ORD0951,Karim,Hamidi,karim.hamidi717@email.com,21,Biskra,Monitor,Accessories,6.0,64198.34,385190.04,Cash,returned,2025-07-21
ORD0834,Lina,Hamidi,lina.hamidi564@email.com,47,Alger,Tablet,Electronics,5.0,66953.54,334767.7,BaridiMob,pending,2025-10-02
ORD0589,Fatima,Larbi,fatima.larbi494@email.com,51,Sidi Bel Abbes,Smartphone,Accessories,9.0,147545.08,1327905.72,BaridiMob,cancelled,2025-09-03
ORD0704,Bilal,Boudiaf,bilal.boudiaf574@email.com,35,Batna,Headphones,Electronics,4.0,24324.09,97296.36,CIB,completed,2025-05-26
ORD0328,Amine,Zidane,amine.zidane180@email.com,54,Batna,Keyboard,Peripherals,3.0,27067.39,81202.17,N/A,returned,2025-07-28
ORD0917,Yasmine,Bouzid,yasmine.bouzid416@email.com,51,Tiaret,USB Cable,Electronics,7.0,83630.99,585416.93,Credit Card,returned,2025-08-03
ORD0604,Ali,Hamidi,ali.hamidi479@email.com,38,Biskra,Smartwatch,Electronics,8.0,138442.96,1107543.68,BaridiMob,cancelled,2025-12-22
